symbol,exchange,vtSymbol,date,time,open,high,low,close,volume
IF99,,IF99,20140807,00:00:00,2372.5903,2382.2998,2337.4776,2341.0184,959335.0
IF99,,IF99,20140808,00:00:00,2341.0824,2356.3559,2333.0035,2344.8664,795926.0
IF99,,IF99,20140811,00:00:00,2352.8813,2382.0631,2349.1677,2366.4161,856117.0
IF99,,IF99,20140812,00:00:00,2370.1731,2373.6812,2352.5507,2372.907,736073.0
IF99,,IF99,20140813,00:00:00,2374.7783,2380.0622,2341.9839,2367.6944,952077.0
IF99,,IF99,20140814,00:00:00,2372.1388,2378.3554,2341.7987,2346.1902,923789.0
IF99,,IF99,20140815,00:00:00,2352.6713,2387.7166,2348.0788,2380.4309,911674.0
IF99,,IF99,20140818,00:00:00,2381.3094,2396.5999,2370.1818,2378.8182,725463.0
IF99,,IF99,20140819,00:00:00,2382.1108,2386.9008,2359.8488,2377.1736,720446.0
IF99,,IF99,20140820,00:00:00,2376.9932,2381.3202,2363.7935,2367.1575,688781.0
IF99,,IF99,20140821,00:00:00,2369.6433,2372.2298,2339.3132,2357.8881,712617.0
IF99,,IF99,20140822,00:00:00,2359.1799,2377.7873,2354.6835,2375.8142,717768.0
IF99,,IF99,20140825,00:00:00,2376.4407,2380.585,2345.7188,2352.1071,703685.0
IF99,,IF99,20140826,00:00:00,2352.0281,2359.7781,2332.254,2341.6739,751962.0
IF99,,IF99,20140827,00:00:00,2342.8948,2351.6574,2337.7632,2340.304,534797.0
IF99,,IF99,20140828,00:00:00,2341.1859,2347.9049,2326.0826,2334.9258,653731.0
IF99,,IF99,20140829,00:00:00,2332.6933,2356.8092,2332.1843,2355.5483,604425.0
IF99,,IF99,20140901,00:00:00,2356.7338,2363.0802,2346.157,2353.5467,573963.0
IF99,,IF99,20140902,00:00:00,2355.5113,2399.6273,2351.6178,2393.8625,841435.0
IF99,,IF99,20140903,00:00:00,2398.0602,2429.6615,2395.6515,2416.5595,861154.0
IF99,,IF99,20140904,00:00:00,2418.6827,2451.2807,2416.3941,2450.8908,817189.0
IF99,,IF99,20140905,00:00:00,2454.7521,2480.8427,2449.0186,2475.8121,923025.0
IF99,,IF99,20140909,00:00:00,2477.0053,2479.321,2455.4212,2463.9639,650801.0
IF99,,IF99,20140910,00:00:00,2458.133,2460.0429999999997,2434.6271,2447.7779,712701.0
IF99,,IF99,20140911,00:00:00,2447.7722,2484.6348,2424.3553,2424.8367,1153425.0
IF99,,IF99,20140912,00:00:00,2425.7715,2451.8055,2422.4301,2445.8219,859471.0
IF99,,IF99,20140915,00:00:00,2438.9579,2449.183,2428.8306,2440.5834,759875.0
IF99,,IF99,20140916,00:00:00,2441.9264,2460.9546,2394.3997,2401.4178,1156091.0
IF99,,IF99,20140917,00:00:00,2413.1995,2416.9353,2396.2368,2410.8807,839768.0
IF99,,IF99,20140918,00:00:00,2410.9977,2426.4036,2401.2933,2416.3189,927720.0
IF99,,IF99,20140919,00:00:00,2420.2903,2450.4431,2415.2128,2445.1519,961937.0
IF99,,IF99,20140922,00:00:00,2442.0781,2442.723,2379.4332,2392.5435,865489.0
IF99,,IF99,20140923,00:00:00,2390.3264,2420.5139,2389.8659,2407.6169,796344.0
