code,name,industry,area
002609,捷顺科技,软件服务,深圳
002650,加加食品,食品,湖南
002436,兴森科技,元器件,深圳
002634,棒杰股份,服饰,浙江
002398,建研集团,其他建材,福建
002671,龙泉股份,其他建材,山东
002396,星网锐捷,通信设备,福建
002532,新界泵业,农用机械,浙江
002504,弘高创意,装修装饰,北京
002035,华帝股份,家用电器,广东
002083,孚日股份,纺织,山东
002323,雅百特,建筑施工,江苏
002333,罗普斯金,铝,江苏
002429,兆驰股份,家用电器,深圳
002233,塔牌集团,水泥,广东
002029,七 匹 狼,服饰,福建
002701,奥瑞金,广告包装,北京
002179,中航光电,元器件,河南
002070,众和股份,纺织,福建
002405,四维图新,软件服务,北京
002641,永高股份,塑料,浙江
002001,新 和 成,化学制药,浙江
002434,万里扬,汽车配件,浙江
002009,天奇股份,工程机械,江苏
002360,同德化工,化工原料,山西
002098,浔兴股份,服饰,福建
002399,海普瑞,化学制药,深圳
002632,道明光学,化工原料,浙江
002520,日发精机,机床制造,浙江
002737,葵花药业,中成药,黑龙江
002205,国统股份,其他建材,新疆
002507,涪陵榨菜,食品,重庆
002387,黑牛食品,软饮料,广东
002783,凯龙股份,化工原料,湖北
002236,大华股份,电器仪表,浙江
002169,智光电气,电气设备,广东
002163,中航三鑫,装修装饰,深圳
002374,丽鹏股份,建筑施工,山东
002522,浙江众成,塑料,浙江
002496,辉丰股份,农药化肥,江苏
002680,长生生物,生物制药,江苏
002124,天邦股份,饲料,浙江
002686,亿利达,专用机械,浙江
002008,大族激光,电器仪表,深圳
002642,荣之联,软件服务,北京
002292,奥飞娱乐,影视音像,广东
002327,富安娜,纺织,深圳
002451,摩恩电气,电气设备,上海
002577,雷柏科技,电脑设备,深圳
002202,金风科技,电气设备,新疆
002661,克明面业,食品,湖南
002795,永和智控,机械基件,浙江
002238,天威视讯,影视音像,深圳
002581,未名医药,生物制药,山东
002476,宝莫股份,化工原料,山东
002081,金 螳 螂,装修装饰,江苏
002674,兴业科技,纺织,福建
002385,大北农,饲料,北京
002046,轴研科技,机械基件,河南
002392,北京利尔,其他建材,北京
002601,龙蟒佰利,化工原料,河南
002788,鹭燕医药,医药商业,福建
002361,神剑股份,化工原料,安徽
002559,亚威股份,机床制造,江苏
002296,辉煌科技,通信设备,河南
002830,名雕股份,装修装饰,深圳
002777,久远银海,软件服务,四川
002455,百川股份,化工原料,江苏
002384,东山精密,通信设备,江苏
002421,达实智能,软件服务,深圳
002534,杭锅股份,专用机械,浙江
002558,世纪游轮,旅游服务,重庆
002188,巴士在线,广告包装,浙江
002610,爱康科技,电气设备,江苏
002319,乐通股份,染料涂料,广东
002155,湖南黄金,黄金,湖南
002723,金莱特,家用电器,广东
002402,和而泰,元器件,深圳
002230,科大讯飞,软件服务,安徽
002206,海 利 得,化纤,浙江
002811,亚泰国际,装修装饰,深圳
002818,富森美,房产服务,四川
002036,联创电子,元器件,浙江
002244,滨江集团,区域地产,浙江
002449,国星光电,半导体,广东
002391,长青股份,农药化肥,江苏
002684,猛狮科技,电气设备,广东
002822,中装建设,装修装饰,深圳
002347,泰尔股份,机械基件,安徽
002761,多喜爱,纺织,湖南
002064,华峰氨纶,化纤,浙江
002308,威创股份,电脑设备,广东
002328,新朋股份,汽车配件,上海
002431,棕榈股份,建筑施工,广东
002639,雪人股份,专用机械,福建
002353,杰瑞股份,化工机械,山东
002548,金新农,饲料,深圳
002636,金安国纪,元器件,上海
002041,登海种业,种植业,山东
002832,比音勒芬,服饰,广东
002137,麦达数字,元器件,深圳
002271,东方雨虹,其他建材,北京
002571,德力股份,玻璃,安徽
002056,横店东磁,元器件,浙江
002031,巨轮智能,汽车配件,广东
002829,星网宇达,通信设备,北京
002412,汉森制药,中成药,湖南
002383,合众思壮,通信设备,北京
002303,美盈森,造纸,深圳
002668,奥马电器,家用电器,广东
002511,中顺洁柔,造纸,广东
002673,西部证券,证券,陕西
002171,楚江新材,铜,安徽
002373,千方科技,软件服务,北京
002677,浙江美大,家用电器,浙江
002253,川大智胜,软件服务,四川
002321,华英农业,农业综合,河南
002147,新光圆成,机械基件,安徽
002388,新亚制程,元器件,深圳
002706,良信电器,电气设备,上海
002419,天虹商场,百货,深圳
002582,好想你,食品,河南
002258,利尔化学,农药化肥,四川
002501,利源精制,铝,吉林
002791,坚朗五金,其他建材,广东
002040,南 京 港,港口,江苏
002508,老板电器,家用电器,浙江
002568,百润股份,红黄药酒,上海
002139,拓邦股份,元器件,深圳
002010,传化智联,染料涂料,浙江
002052,同洲电子,通信设备,深圳
